target,feature_set,model,transformation,fold_idx,r2,rmse,mae
Ni_num,M2_Core_Salinity,Ridge,RAW,8,0.189945,2.097163,1.186021
Ni_num,M2_Core_Salinity,Ridge,RAW,9,-13.689589,0.887282,0.767044
Ni_num,M2_Core_Salinity,Ridge,RAW,10,-0.695207,2.693404,1.665701
Ni_num,M2_Core_Salinity,Ridge,RAW,11,-0.274368,1.009306,0.758907
Ni_num,M2_Core_Salinity,Ridge,RAW,12,0.376903,1.849962,1.248854
Ni_num,M2_Core_Salinity,Ridge,RAW,13,0.265656,2.230073,1.434387
Ni_num,M2_Core_Salinity,Ridge,RAW,14,-0.872537,2.951606,2.129215
Ni_num,M2_Core_Salinity,Ridge,RAW,15,-0.641588,0.785742,0.664886
Ni_num,M2_Core_Salinity,Ridge,RAW,16,-0.199144,2.604893,1.559967
Ni_num,M2_Core_Salinity,Ridge,RAW,17,0.189416,1.103586,0.951035
Ni_num,M2_Core_Salinity,Ridge,RAW,18,0.682098,0.768442,0.605503
Ni_num,M2_Core_Salinity,Ridge,RAW,19,-0.599559,1.335106,1.040379
Ni_num,M2_Core_Salinity,Ridge,RAW,20,0.124703,2.688831,1.994941
Ni_num,M2_Core_Salinity,Ridge,RAW,21,0.137495,0.638384,0.492368
Ni_num,M2_Core_Salinity,Ridge,RAW,22,0.167204,2.000786,1.406955
Ni_num,M2_Core_Salinity,Ridge,RAW,23,0.633804,0.797626,0.679146
Ni_num,M2_Core_Salinity,Ridge,RAW,24,0.127935,2.386675,1.837456
Ni_num,M2_Core_Salinity,Ridge,RAW,25,-0.593606,2.696401,1.741871
Ni_num,M2_Core_Salinity,Lasso,LOG1P,1,0.485163,0.70434,0.630123
Ni_num,M2_Core_Salinity,Lasso,LOG1P,2,0.566014,0.835852,0.727951
Ni_num,M2_Core_Salinity,Lasso,LOG1P,3,-0.108562,2.381093,1.266434
Ni_num,M2_Core_Salinity,Lasso,LOG1P,4,-0.251215,3.057217,2.098838
Ni_num,M2_Core_Salinity,Lasso,LOG1P,5,0.716107,0.669209,0.592015
Ni_num,M2_Core_Salinity,Lasso,LOG1P,6,0.525334,0.792866,0.780913
Ni_num,M2_Core_Salinity,Lasso,LOG1P,7,0.221655,2.047021,1.492043
Ni_num,M2_Core_Salinity,Lasso,LOG1P,8,0.05381,2.266544,1.200416
Ni_num,M2_Core_Salinity,Lasso,LOG1P,9,-5.854679,0.606109,0.574505
Ni_num,M2_Core_Salinity,Lasso,LOG1P,10,-0.472043,2.509866,1.427018
Ni_num,M2_Core_Salinity,Lasso,LOG1P,11,0.484921,0.641671,0.543707
Ni_num,M2_Core_Salinity,Lasso,LOG1P,12,0.319786,1.932893,1.342536
Ni_num,M2_Core_Salinity,Lasso,LOG1P,13,0.250719,2.25264,1.292765
