target,input_set_id,input_set_name,num_features,model,transformation,effective_N,mean_R2,median_R2,sd_R2,RMSE,MAE,spearman_rho,pos_fold_count,pos_fold_pct
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,Ridge,LOG1P,40,-2.125,-0.2832,7.8593,2.8067,1.5338,-0.0409,2,8.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,ElasticNet,RAW,40,-10.5995,-0.4571,31.1523,3.24,2.0601,-0.1898,0,0.0
Fe_num,E3,E3_Min4_Field_Depth_LogSalinity,4,ElasticNet,LOG1P,40,-1.6541,-0.1771,6.1459,2.7467,1.4955,-0.0022,3,12.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,SVR_RBF,RAW,40,-0.4377,-0.1895,0.877,2.7494,1.4106,0.1048,4,16.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,SVR_RBF,LOG1P,40,-0.4579,-0.2015,1.0048,2.7357,1.4148,0.1141,5,20.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,PLS,RAW,40,-11.9904,-0.3337,36.2116,3.2403,2.0454,-0.0729,1,4.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,PLS,LOG1P,40,-1.8456,-0.2567,6.7791,2.7648,1.5039,0.052,2,8.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,Lasso,RAW,40,-10.9262,-0.3567,30.5688,3.2528,2.0622,-0.1708,0,0.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,Lasso,LOG1P,40,-1.4119,-0.1803,4.9273,2.7384,1.4904,-0.1056,2,8.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,Ridge,RAW,40,-15.544,-0.5071,41.143,3.54,2.2064,-0.1437,0,0.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,Ridge,LOG1P,40,-2.2038,-0.2974,6.8122,2.8504,1.5602,-0.0303,2,8.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,ElasticNet,RAW,40,-12.0169,-0.3774,33.3643,3.3057,2.0881,-0.1444,0,0.0
Fe_num,E4,E4_Min5_Field_Depth_Interactions,5,ElasticNet,LOG1P,40,-1.4532,-0.177,5.1484,2.7383,1.4875,0.0181,3,12.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,SVR_RBF,RAW,40,-0.578,-0.1834,1.382,2.761,1.4249,0.0768,4,16.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,SVR_RBF,LOG1P,40,-0.6934,-0.2106,1.7865,2.7514,1.4293,0.0864,3,12.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,PLS,RAW,40,-13.0186,-0.3293,38.0729,3.2955,2.0939,-0.0972,1,4.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,PLS,LOG1P,40,-2.0747,-0.2696,7.7751,2.7782,1.5152,0.0213,2,8.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Lasso,RAW,40,-10.9699,-0.6806,30.5538,3.3176,2.1136,-0.2061,0,0.0
Fe_num,E5,E5_Full_Parsimonious_Easy_Panel,6,Lasso,LOG1P,40,-1.5664,-0.1901,5.6676,2.7466,1.4983,-0.1317,2,8.0
