target,fold,config,model,observed,predicted,residual,abs_residual
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,1.1,0.6694,0.4306,0.4306
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.6917,-0.4417,0.4417
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,0.25,0.6768,-0.4268,0.4268
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,0.5,0.5907,-0.0907,0.0907
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,5.5,0.7516,4.7484,4.7484
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,0.9,0.8692,0.0308,0.0308
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,3.5,0.7253,2.7747,2.7747
As_num,3,M7_TargetSpecific_Selected,HuberRegressor,1.9,0.6097,1.2903,1.2903
As_num,3,M7_TargetSpecific_Selected,ExtraTrees,1.1,0.5637,0.5363,0.5363
As_num,3,M7_TargetSpecific_Selected,ExtraTrees,0.25,1.6375,-1.3875,1.3875
As_num,3,M7_TargetSpecific_Selected,ExtraTrees,0.25,0.4592,-0.2092,0.2092
As_num,3,M7_TargetSpecific_Selected,ExtraTrees,0.5,0.9713,-0.4713,0.4713
As_num,3,M7_TargetSpecific_Selected,ExtraTrees,5.5,3.4754,2.0246,2.0246
As_num,3,M7_TargetSpecific_Selected,ExtraTrees,0.9,2.5648,-1.6648,1.6648
As_num,3,M7_TargetSpecific_Selected,ExtraTrees,3.5,1.2499,2.2501,2.2501
As_num,3,M7_TargetSpecific_Selected,ExtraTrees,1.9,0.7338,1.1662,1.1662
As_num,4,M1_Core,Ridge,0.8,1.5898,-0.7898,0.7898
As_num,4,M1_Core,Ridge,1.9,1.3012,0.5988,0.5988
As_num,4,M1_Core,Ridge,4.0,1.3389,2.6611,2.6611
As_num,4,M1_Core,Ridge,0.25,1.7028,-1.4528,1.4528
As_num,4,M1_Core,Ridge,0.25,1.5141,-1.2641,1.2641
As_num,4,M1_Core,Ridge,0.25,1.4338,-1.1838,1.1838
As_num,4,M1_Core,Ridge,1.7,1.9437,-0.2437,0.2437
As_num,4,M1_Core,Ridge,28.7,1.6471,27.0529,27.0529
As_num,4,M1_Core,HuberRegressor,0.8,0.6266,0.1734,0.1734
As_num,4,M1_Core,HuberRegressor,1.9,0.5837,1.3163,1.3163
As_num,4,M1_Core,HuberRegressor,4.0,0.5807,3.4193,3.4193
As_num,4,M1_Core,HuberRegressor,0.25,0.6489,-0.3989,0.3989
As_num,4,M1_Core,HuberRegressor,0.25,0.6348,-0.3848,0.3848
As_num,4,M1_Core,HuberRegressor,0.25,0.6299,-0.3799,0.3799
As_num,4,M1_Core,HuberRegressor,1.7,0.7761,0.9239,0.9239
As_num,4,M1_Core,HuberRegressor,28.7,0.7698,27.9302,27.9302
As_num,4,M1_Core,ExtraTrees,0.8,1.4885,-0.6885,0.6885
As_num,4,M1_Core,ExtraTrees,1.9,1.2949,0.6051,0.6051
As_num,4,M1_Core,ExtraTrees,4.0,1.4309,2.5691,2.5691
As_num,4,M1_Core,ExtraTrees,0.25,2.6899,-2.4399,2.4399
As_num,4,M1_Core,ExtraTrees,0.25,2.2356,-1.9856,1.9856
