target,feature_set,model,raw_r2,log1p_r2,delta_r2,raw_rmse,log1p_rmse,delta_rmse,raw_spearman_rho,log1p_spearman_rho,delta_spearman_rho
HPI,Set C (pH SENSITIVITY),RandomForest,-2.0838680334072235,-0.3938079644857309,1.6900600689214926,74.25143289845485,66.2128282356058,-8.038604662849053,-0.08367729831144466,0.15403377110694186,0.23771106941838652
HPI,Set C (pH SENSITIVITY),Ridge,-2.004799619204495,-0.35571779348878957,1.6490818257157054,74.09652890994975,64.93587559070426,-9.160653319245498,0.13771106941838654,0.25121951219512195,0.11350844277673541
HPI,Set C (pH SENSITIVITY),SVR_RBF,-0.2511740707194939,-0.3220580723814057,-0.07088400166191183,65.5417740451922,66.47441757401243,0.9326435288202362,-0.3529080675422139,0.057035647279549725,0.4099437148217636
Mn_num,Set A (FULL),ElasticNet,-1.9571458955879786,-0.5510270653568332,1.4061188302311454,1.0286205704406008,0.9350227188726226,-0.09359785156797829,0.3816135084427768,0.44727954971857414,0.06566604127579734
Mn_num,Set A (FULL),ExtraTrees,-1.968089290874285,-1.031534776579301,0.936554514294984,1.0776368428427388,0.9951883636001321,-0.08244847924260668,0.08705440900562854,0.2572232645403377,0.17016885553470917
Mn_num,Set A (FULL),GradientBoosting,-3.740000617709944,-2.079721649688789,1.6602789680211547,1.1904646324323733,1.063441529435466,-0.12702310299690733,0.3397748592870544,0.3941838649155723,0.05440900562851786
Mn_num,Set A (FULL),Lasso,-1.452978030773025,-0.328972295008998,1.124005735764027,0.9977920024287192,0.9259925459093137,-0.07179945651940556,0.3606003752345216,0.3416510318949344,-0.0189493433395872
Mn_num,Set A (FULL),RandomForest,-2.9491223009703513,-1.503571408797846,1.4455508921725053,1.1217427950115342,1.0049179876931287,-0.1168248073184055,0.3849906191369606,0.4594746716697937,0.07448405253283313
Mn_num,Set A (FULL),Ridge,-4.94769922219783,-3.0687174431213635,1.8789817790764665,1.263198206259026,1.0967299319276163,-0.16646827433140965,0.1384615384615385,0.21932457786116324,0.08086303939962475
Mn_num,Set A (FULL),SVR_RBF,-0.8898697904897268,-0.8611237344980267,0.028746055991700104,0.9736053213718727,0.969018776904452,-0.0045865444674206834,0.3656660412757974,0.36998123827392126,0.0043151969981238825
Mn_num,Set B (CORE),ElasticNet,-1.5405896426210106,-0.4021325045714698,1.1384571380495407,1.0018254261890844,0.9246167432690258,-0.07720868292005867,0.4063789868667918,0.36810506566604134,-0.03827392120075046
Mn_num,Set B (CORE),ExtraTrees,-1.4249659033895432,-0.8045905415262099,0.6203753618633333,1.0081024231809648,0.9682880834773572,-0.03981433970360759,0.33789868667917455,0.3666041275797374,0.028705440900562873
Mn_num,Set B (CORE),GradientBoosting,-2.7225314104309515,-0.9232164851549558,1.7993149252759957,1.0711710564878059,0.9529507247497478,-0.11822033173805802,0.21594746716697938,0.31688555347091935,0.10093808630393997
Mn_num,Set B (CORE),Lasso,-1.2684228973093665,-0.3074575465475064,0.9609653507618601,0.9871857351247775,0.9225462273351103,-0.0646395077896672,0.35309568480300196,0.24690431519699815,-0.10619136960600381
Mn_num,Set B (CORE),RandomForest,-3.5967256715589495,-0.957875664175563,2.6388500073833865,1.0880979456741402,0.944215540740315,-0.1438824049338252,0.19118198874296438,0.3688555347091933,0.17767354596622892
Mn_num,Set B (CORE),Ridge,-2.1046323395515034,-0.9123288367657854,1.192303502785718,1.0404422790386778,0.9510004365163244,-0.08944184252235343,0.4135084427767355,0.4797373358348968,0.06622889305816132
Mn_num,Set B (CORE),SVR_RBF,-0.8579003848652635,-1.2235480115693735,-0.36564762670411,0.9858207955720824,1.003600669865946,0.01777987429386374,0.19343339587242028,0.2176360225140713,0.024202626641651015
Mn_num,Set C (pH SENSITIVITY),ElasticNet,-1.5616079480357337,-0.4021325045714698,1.1594754434642638,1.0084143310889875,0.9246167432690258,-0.08379758781996172,0.41050656660412765,0.36810506566604134,-0.04240150093808631
Mn_num,Set C (pH SENSITIVITY),ExtraTrees,-1.5183702032454653,-0.7672841559484992,0.7510860472969662,1.0317419659900182,0.9704758175857439,-0.061266148404274356,0.2568480300187618,0.2960600375234522,0.03921200750469045
Mn_num,Set C (pH SENSITIVITY),GradientBoosting,-1.5285282510107205,-0.9771611199872529,0.5513671310234677,1.0590763051519134,0.9825128110307715,-0.07656349412114194,0.1330206378986867,0.27973733583489685,0.14671669793621014
Mn_num,Set C (pH SENSITIVITY),Lasso,-1.2684228973093665,-0.3074575465475064,0.9609653507618601,0.9871857351247775,0.9225462273351103,-0.0646395077896672,0.35309568480300196,0.24690431519699815,-0.10619136960600381
Mn_num,Set C (pH SENSITIVITY),RandomForest,-2.6224324585029932,-0.9143438875383653,1.708088570964628,1.0943015858315517,0.9522992698731333,-0.1420023159584184,0.13227016885553475,0.34652908067542215,0.2142589118198874
Mn_num,Set C (pH SENSITIVITY),Ridge,-2.253830990529644,-0.9856313086835816,1.2681996818460624,1.0689256679959962,0.9689615236056978,-0.09996414439029844,0.34652908067542215,0.40938086303939974,0.06285178236397759
Mn_num,Set C (pH SENSITIVITY),SVR_RBF,-0.7976430223351731,-1.4745282957273673,-0.6768852733921942,0.9920103104859122,1.0366791332240082,0.044668822738096026,0.12870544090056285,0.12814258911819887,-0.0005628517823639823
Ni_num,Set A (FULL),ElasticNet,-1.0997449085497562,-0.1668111829463601,0.932933725603396,1.9456617228886233,1.6672941252391544,-0.27836759764946883,0.5314366624513864,0.5818663298372134,0.05042966738582699
Ni_num,Set A (FULL),ExtraTrees,-0.8284240673704367,-0.20290929917074485,0.6255147681996919,1.782646026785038,1.6174507434247536,-0.16519528336028433,0.5066444237365666,0.5682493805430889,0.06160495680652234
Ni_num,Set A (FULL),GradientBoosting,-1.5536813051385294,-0.6734552730578013,0.8802260320807281,1.9261912355973436,1.6984664045263502,-0.2277248310709934,0.4349910974509316,0.5497491115021057,0.11475801405117408
Ni_num,Set A (FULL),Lasso,-0.9244840680024418,-0.02454942520973577,0.899934642792706,1.88694730684304,1.5887382189867116,-0.2982090878563284,0.530028012524408,0.5872191995597313,0.05719118703532333
