target,input_set_id,input_set_name,model,transformation,fold_idx,r2,rmse,mae
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,17,-8.027888,1.733783,1.608404
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,18,-0.124342,9.784492,4.342798
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,19,-0.238546,10.264606,5.029216
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,20,-0.121432,5.185402,2.528081
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,21,-0.155605,1.391905,1.178572
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,22,-0.088754,5.132088,2.502484
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,23,-0.083339,9.388674,3.885135
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,24,-0.271625,4.283957,2.524439
As_num,E1,E1_Min2_FieldOnly,Ridge,LOG1P,25,-0.095949,9.68908,4.129598
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,1,-164.456891,3.595319,3.462208
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,2,-0.162911,10.416377,6.15733
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,3,-0.095298,4.04838,2.882041
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,4,-1.274149,2.631161,2.202742
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,5,-0.099569,9.58153,4.957709
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,6,-0.239476,4.297368,3.228149
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,7,-2.500948,3.196772,2.70464
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,8,-0.364541,5.496946,4.135957
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,9,-3.957355,2.832657,2.556567
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,10,-0.218776,13.259349,7.572374
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,11,-3.71817,2.363874,1.996361
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,12,-0.260071,6.391482,4.361808
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,13,-0.038079,9.397874,4.586566
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,14,-0.009951,9.008751,4.941933
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,15,-4.940086,2.964978,2.821003
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,16,-0.279095,1.979489,1.704246
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,17,-49.091847,4.083996,3.778423
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,18,-0.070627,9.547906,4.915342
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,19,-0.12492,9.782435,5.453414
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,20,-0.223531,5.416309,3.879452
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,21,-2.304102,2.353594,2.135395
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,22,-0.160349,5.29814,4.010224
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,23,-0.00401,9.03839,4.764651
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,24,-0.418024,4.52384,3.526662
As_num,E1,E1_Min2_FieldOnly,ElasticNet,RAW,25,-0.052422,9.494726,4.958896
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,1,-15.363201,1.130653,1.101588
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,2,-0.236061,10.738988,5.614386
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,3,-0.107541,4.070943,2.06865
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,4,0.000399,1.744421,1.251446
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,5,-0.156108,9.824781,4.418875
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,6,-0.106724,4.060721,2.102127
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,7,0.060967,1.655615,1.393551
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,8,-0.207331,5.170606,2.364472
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,9,-0.131393,1.353243,1.175489
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,10,-0.28261,13.602149,7.204426
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,11,0.121565,1.019981,0.920192
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,12,-0.377825,6.683457,4.116429
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,13,-0.102117,9.683408,4.087527
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,14,-0.099594,9.400061,3.798762
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,15,-0.284862,1.378965,1.225643
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,16,-0.04772,1.791531,1.326492
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,17,-6.64091,1.59505,1.474896
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,18,-0.130878,9.812892,4.407843
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,19,-0.238578,10.264739,5.014629
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,20,-0.109716,5.158243,2.457431
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,21,-0.137841,1.381165,1.215794
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,22,-0.084094,5.121092,2.451217
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,23,-0.085434,9.397748,3.887861
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,24,-0.296014,4.324843,2.507718
As_num,E1,E1_Min2_FieldOnly,ElasticNet,LOG1P,25,-0.101476,9.713484,4.023838
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,1,-2.511847,0.523797,0.480263
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,2,-0.283484,10.943056,5.589129
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,3,-0.18221,4.205934,1.956139
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,4,-0.173596,1.890154,1.1375
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,5,-0.206202,10.035376,4.254384
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,6,-0.138314,4.118268,1.853849
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,7,0.164439,1.561737,0.941619
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,8,-0.297562,5.36034,2.535161
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,9,0.210779,1.130234,0.764536
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,10,-0.322347,13.811246,7.158967
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,11,-0.242879,1.213255,0.797054
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,12,-0.465997,6.893991,4.148615
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,13,-0.158431,9.92772,3.967978
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,14,-0.159456,9.652541,3.671266
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,15,0.239563,1.060857,0.640203
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,16,-0.298364,1.994344,1.268302
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,17,-3.161934,1.177197,1.109103
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,18,-0.17974,10.022645,4.132151
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,19,-0.26885,10.389422,5.021481
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,20,-0.130658,5.206687,2.150893
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,21,0.161208,1.185856,0.823994
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,22,-0.119377,5.203762,2.087394
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,23,-0.110117,9.504004,3.736875
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,24,-0.421728,4.529745,2.560917
As_num,E2,E2_Min3_Field_Plus_Depth,SVR_RBF,RAW,25,-0.174617,10.0308,3.968268
