config,model,mean_R2,median_R2,sd_R2,iqr_R2,mean_RMSE,mean_MAE,mean_Spearman,feature_count,target
M6_Core_AllHydrochemical,Lasso,-1.9130092940366539,-0.1837668331760287,7.135097326872526,0.21400486128631702,2.7507339622894857,1.5106155784869606,0.15904761904761908,10,Fe_num
M6_Core_AllHydrochemical,RandomForest,-11.241506304124947,-0.3628126394058555,39.47396019011229,1.5374032972226719,3.1160512869238177,1.8070272950779673,-0.1542857142857143,10,Fe_num
M6_Core_AllHydrochemical,Ridge,-27.078908284016617,-0.20748127141118222,129.09673572078003,0.24296078275913358,2.9219638759814153,1.6270805761666347,0.07593384221393096,10,Fe_num
M6_Core_AllHydrochemical,SVR_RBF,-1.0415840720177711,-0.1809767291804787,3.5126361894304017,0.2699240884775669,2.743800907087741,1.4350414158632754,0.12666666666666668,10,Fe_num
M7_TargetSpecific_Selected,ElasticNet,-2.4387419388578095,-0.1439918343335016,9.396688693977786,0.4322075681197406,2.7332870109508143,1.4999894283067803,0.2510296017239013,9,Fe_num
M7_TargetSpecific_Selected,ExtraTrees,-6.470725153427976,-0.23993980047877295,26.646992184511948,0.24486483348954802,2.8377425395487834,1.6117953259543916,-0.02095238095238096,9,Fe_num
M7_TargetSpecific_Selected,GradientBoosting,-7.4035239130984,-0.2859250108461435,24.045670235922522,2.010234248208879,3.1958880734534345,1.8130490895141598,-0.04073776083100869,9,Fe_num
M7_TargetSpecific_Selected,HuberRegressor,-193.35510671411487,-0.16849481085417684,964.6788820556552,0.30024334235861905,3.0584950281960754,1.5336672867904577,0.27723775899953523,9,Fe_num
M7_TargetSpecific_Selected,Lasso,-1.911547178892181,-0.18373549061049133,7.126332193828954,0.21413711139901892,2.7508217392636682,1.5105645605528712,0.15904761904761908,9,Fe_num
M7_TargetSpecific_Selected,RandomForest,-9.792231460280373,-0.285720806983786,38.78008335052151,1.1977935502890393,3.046311777186665,1.7939291769825272,-0.04952380952380953,9,Fe_num
M7_TargetSpecific_Selected,Ridge,-31.74937531180072,-0.18348238023825703,153.63334694327636,0.2961664124012675,2.8827428488302025,1.593074183858796,0.2084880697236226,9,Fe_num
M7_TargetSpecific_Selected,SVR_RBF,-1.0429394653923039,-0.16818201502264918,3.514863560007062,0.2881857848933451,2.73381747403211,1.4271392496482127,0.1304761904761905,9,Fe_num
M1_Core,ElasticNet,-0.38847529084155336,-0.15912278902953814,0.623058133014342,0.45967347433295713,0.9229039357521817,0.6221300391956635,0.45293394118970404,5,Mn_num
M1_Core,ExtraTrees,-0.9151246262568538,-0.3352988522462086,1.378258426523295,0.4833362185866663,0.9849930289621699,0.68470018049338,0.32000000000000006,5,Mn_num
M1_Core,GradientBoosting,-0.977161119985132,-0.3179311954251298,1.9086971254039022,0.5115046633523763,0.9825128110307715,0.660969363649266,0.2915324105407343,5,Mn_num
M1_Core,HuberRegressor,-1.1786430807718922,-0.18560623030622536,2.5047070023420805,0.43059678696782067,0.9914494031990619,0.646529859473399,0.433886322142085,5,Mn_num
M1_Core,Lasso,-0.30728254965977536,-0.10118156883089835,0.4694078956511049,0.40462875436231616,0.9225193255870165,0.613916404053831,0.39662811816463645,5,Mn_num
M1_Core,RandomForest,-1.082744910102866,-0.22363444891067163,1.950293212954466,0.8973901425312802,0.9715432908307382,0.6813135366094685,0.2666666666666667,5,Mn_num
M1_Core,Ridge,-0.9263821113999775,-0.1887758343344137,1.6547650073312064,0.7649964241375082,0.9622738439774242,0.6646026932693089,0.4730083019326496,5,Mn_num
M1_Core,SVR_RBF,-1.4745282957244934,-0.3516661021173022,2.859353267846408,0.5633150991678446,1.0366791332240084,0.7016617406555018,0.0542857142857143,5,Mn_num
