target,fold,config,model,transform,feature_count,r2,rmse,mae,spearman_rho
HPI,7,M3_Core_IonRatios,SVR_RBF,LOG1P,8,-0.7287218674335667,44.491026263082276,36.854775268975196,0.28571428571428575
HPI,7,M3_Core_IonRatios,HuberRegressor,LOG1P,8,-0.2777227588126583,38.24971257887177,31.71254708302586,0.5000000000000001
HPI,7,M3_Core_IonRatios,RandomForest,LOG1P,8,0.06708663470989451,32.68364753094489,24.692784428005236,0.4523809523809524
HPI,7,M3_Core_IonRatios,ExtraTrees,LOG1P,8,-0.027912322927207578,34.30740718527587,26.038137960409685,0.6190476190476191
HPI,7,M3_Core_IonRatios,GradientBoosting,LOG1P,8,0.07565402875688154,32.53322652619904,26.99537506851049,0.407192929050508
HPI,7,M4_Core_IonExchange,Ridge,LOG1P,6,-0.2658016856393839,38.070860722861454,32.63811835295845,0.30952380952380953
HPI,7,M4_Core_IonExchange,Lasso,LOG1P,6,-0.3137533971337654,38.78526711897807,31.21537157133434,0.30952380952380953
HPI,7,M4_Core_IonExchange,ElasticNet,LOG1P,6,-0.27304408461727037,38.17961831684252,31.453113136372977,0.30952380952380953
HPI,7,M4_Core_IonExchange,SVR_RBF,LOG1P,6,-0.6653654985025861,43.668134809291885,37.353217583985916,0.3571428571428572
HPI,7,M4_Core_IonExchange,HuberRegressor,LOG1P,6,-0.3827433148519157,39.79061435189545,32.61970839047456,0.30952380952380953
HPI,7,M4_Core_IonExchange,RandomForest,LOG1P,6,0.0873268821202956,32.327155349895676,25.60619470143118,0.4047619047619048
HPI,7,M4_Core_IonExchange,ExtraTrees,LOG1P,6,0.26239485357843373,29.06175451198397,24.80091887299531,0.4761904761904762
HPI,7,M4_Core_IonExchange,GradientBoosting,LOG1P,6,-0.18935591306264166,36.90334886611188,28.587263595952415,0.22754898976351917
HPI,7,M5_Core_DepthInteractions,Ridge,LOG1P,7,-0.2913772006239954,38.45354808984206,33.55497729102676,0.2380952380952381
HPI,7,M5_Core_DepthInteractions,Lasso,LOG1P,7,-0.47400005268574996,41.08266520356933,34.092913515081776,0.2380952380952381
HPI,7,M5_Core_DepthInteractions,ElasticNet,LOG1P,7,-0.3694028344130371,39.59820248097576,33.440524688988596,0.2380952380952381
HPI,7,M5_Core_DepthInteractions,SVR_RBF,LOG1P,7,-0.8109689292400977,45.53709905649465,37.51110530656751,0.2142857142857143
HPI,7,M5_Core_DepthInteractions,HuberRegressor,LOG1P,7,-0.7105824291015037,44.25698905563458,38.14730337182958,0.07142857142857144
HPI,7,M5_Core_DepthInteractions,RandomForest,LOG1P,7,-0.24331400436464157,37.731170100420435,31.423885198972236,0.30952380952380953
HPI,7,M5_Core_DepthInteractions,ExtraTrees,LOG1P,7,0.1228493454099906,31.69180366238437,27.355393871009376,0.3571428571428572
HPI,7,M5_Core_DepthInteractions,GradientBoosting,LOG1P,7,0.15237961598284344,31.153766245584123,26.95703758735578,0.26347777762091695
HPI,7,M6_Core_AllHydrochemical,Ridge,LOG1P,10,-0.19368548523755003,36.97045685632078,32.97645069820071,0.3571428571428572
HPI,7,M6_Core_AllHydrochemical,Lasso,LOG1P,10,-0.2978922291019708,38.55042558542134,31.16426984203553,0.30952380952380953
HPI,7,M6_Core_AllHydrochemical,ElasticNet,LOG1P,10,-0.20707817040039256,37.177275415368946,31.003377331208885,0.3571428571428572
HPI,7,M6_Core_AllHydrochemical,SVR_RBF,LOG1P,10,-0.792324005393181,45.30207779918792,38.44053390377624,0.07142857142857144
HPI,7,M6_Core_AllHydrochemical,HuberRegressor,LOG1P,10,-0.48747607631052814,41.270036746292504,36.02849142574273,0.4047619047619048
HPI,7,M6_Core_AllHydrochemical,RandomForest,LOG1P,10,0.13570879181122475,31.458637456583176,25.208922826519633,0.5714285714285715
HPI,7,M6_Core_AllHydrochemical,ExtraTrees,LOG1P,10,0.34145143145652246,27.460204416837378,22.930317561872467,0.5476190476190477
HPI,7,M6_Core_AllHydrochemical,GradientBoosting,LOG1P,10,0.41042599511900346,25.98238562129533,21.39099066123569,0.523809523809524
HPI,7,M7_TargetSpecific_Selected,Ridge,LOG1P,6,-0.1260618357455725,35.90798049946467,31.24821433515971,0.30952380952380953
HPI,7,M7_TargetSpecific_Selected,Lasso,LOG1P,6,-0.2968434771842998,38.53484724909689,31.096709957048006,0.30952380952380953
HPI,7,M7_TargetSpecific_Selected,ElasticNet,LOG1P,6,-0.2220643224701262,37.40734572069042,31.224870441303175,0.30952380952380953
HPI,7,M7_TargetSpecific_Selected,SVR_RBF,LOG1P,6,-0.6322300021969769,43.23152334653583,35.3976909341292,0.28571428571428575
HPI,7,M7_TargetSpecific_Selected,HuberRegressor,LOG1P,6,-0.281000373918856,38.29874024916887,32.73760577811305,0.30952380952380953
HPI,7,M7_TargetSpecific_Selected,RandomForest,LOG1P,6,0.01425071304018155,33.596427327848815,28.724442716579425,0.1666666666666667
HPI,7,M7_TargetSpecific_Selected,ExtraTrees,LOG1P,6,0.005649122872393275,33.742689174978324,26.586806461918222,0.6666666666666669
HPI,7,M7_TargetSpecific_Selected,GradientBoosting,LOG1P,6,0.000690592591684247,33.82671689695211,24.94810983982449,0.2142857142857143
HPI,8,M1_Core,Ridge,LOG1P,5,-0.06771627405481362,29.680346448396982,25.53750822668756,0.07142857142857144
HPI,8,M1_Core,Lasso,LOG1P,5,0.03215188258332202,28.258209443368486,23.622924705060903,0.30952380952380953
HPI,8,M1_Core,ElasticNet,LOG1P,5,0.03275463404407186,28.249408821958788,23.68793235111322,0.30952380952380953
HPI,8,M1_Core,SVR_RBF,LOG1P,5,0.06297401636879085,27.804612818774682,23.648004927839455,0.3571428571428572
HPI,8,M1_Core,HuberRegressor,LOG1P,5,-0.029849497477403064,29.1492856124044,23.616216586142343,-0.07142857142857144
HPI,8,M1_Core,RandomForest,LOG1P,5,-0.46114850890888537,34.72067938367711,29.039952628386647,-0.261904761904762
HPI,8,M1_Core,ExtraTrees,LOG1P,5,-0.32659273853654613,33.08337767083408,28.544811134298968,-0.3571428571428572
HPI,8,M1_Core,GradientBoosting,LOG1P,5,-0.5853590411456231,36.16636422831637,29.353722958407232,-0.30952380952380953
HPI,8,M2_Core_Salinity,Ridge,LOG1P,6,-0.5577088166512545,35.849588409991895,31.18905441625556,-0.4047619047619048
HPI,8,M2_Core_Salinity,Lasso,LOG1P,6,-0.12010869679715075,30.399827515148235,25.14453227314417,-0.3333333333333334
HPI,8,M2_Core_Salinity,ElasticNet,LOG1P,6,-0.17364431968303773,31.11782868059341,26.095679967001246,-0.3333333333333334
HPI,8,M2_Core_Salinity,SVR_RBF,LOG1P,6,-0.2185088359626708,31.707016328621673,26.358958602982604,-0.3571428571428572
HPI,8,M2_Core_Salinity,HuberRegressor,LOG1P,6,-1.4125334351563206,44.614672088936786,38.59347419813827,-0.38095238095238104
HPI,8,M2_Core_Salinity,RandomForest,LOG1P,6,-0.4544177970330461,34.640617488730896,28.99194043985617,-0.28571428571428575
HPI,8,M2_Core_Salinity,ExtraTrees,LOG1P,6,-0.9675085694857972,40.29019331608277,33.99278475844158,-0.4285714285714286
HPI,8,M2_Core_Salinity,GradientBoosting,LOG1P,6,-0.6181334858776912,36.53828908508491,29.675030429033256,-0.3333333333333334
HPI,8,M3_Core_IonRatios,Ridge,LOG1P,8,-0.08034765505690644,29.85539364023267,24.800113848321033,0.3333333333333334
HPI,8,M3_Core_IonRatios,Lasso,LOG1P,8,0.10222693241227598,27.216001567262005,21.75972317482343,0.3333333333333334
HPI,8,M3_Core_IonRatios,ElasticNet,LOG1P,8,0.02757618082479074,28.324928937911967,22.967758563207312,0.3333333333333334
HPI,8,M3_Core_IonRatios,SVR_RBF,LOG1P,8,0.05360921177099953,27.943209516424226,23.86255613221904,0.1666666666666667
HPI,8,M3_Core_IonRatios,HuberRegressor,LOG1P,8,-0.11020158507631694,30.265089071841203,23.92377185860989,0.1666666666666667
HPI,8,M3_Core_IonRatios,RandomForest,LOG1P,8,-0.28773034697489375,32.5951887397246,25.4036314656595,-0.30952380952380953
HPI,8,M3_Core_IonRatios,ExtraTrees,LOG1P,8,-0.07339327478023572,29.759146395188903,25.21211541483277,0.2142857142857143
HPI,8,M3_Core_IonRatios,GradientBoosting,LOG1P,8,-0.5066955052184368,35.2576840137967,28.178879339838474,-0.4285714285714286
HPI,8,M4_Core_IonExchange,Ridge,LOG1P,6,0.027915750229919878,28.319982987956784,22.86342882293907,0.38095238095238104
HPI,8,M4_Core_IonExchange,Lasso,LOG1P,6,0.13168389901673094,26.765783571936836,20.629904854162692,0.4523809523809524
HPI,8,M4_Core_IonExchange,ElasticNet,LOG1P,6,0.11221414729448398,27.064196930586107,21.246390220223464,0.38095238095238104
HPI,8,M4_Core_IonExchange,SVR_RBF,LOG1P,6,0.07861087511603171,27.571638511125254,23.358483980531012,0.261904761904762
HPI,8,M4_Core_IonExchange,HuberRegressor,LOG1P,6,0.04508578666416818,28.068759130528765,22.095429677777844,0.14285714285714288
HPI,8,M4_Core_IonExchange,RandomForest,LOG1P,6,-0.38613059258897353,33.81762540919654,29.1178429510935,-0.28571428571428575
HPI,8,M4_Core_IonExchange,ExtraTrees,LOG1P,6,-0.13858232161508788,30.649490049880335,26.13879115310766,0.14285714285714288
HPI,8,M4_Core_IonExchange,GradientBoosting,LOG1P,6,-0.5457803518969551,35.71206194697879,29.746109070031018,-0.28571428571428575
HPI,8,M5_Core_DepthInteractions,Ridge,LOG1P,7,-0.04528070834706788,29.366859298234022,25.33144872281766,0.07142857142857144
HPI,8,M5_Core_DepthInteractions,Lasso,LOG1P,7,0.03215188258332202,28.258209443368486,23.622924705060903,0.30952380952380953
HPI,8,M5_Core_DepthInteractions,ElasticNet,LOG1P,7,0.03275463404407186,28.249408821958788,23.68793235111322,0.30952380952380953
HPI,8,M5_Core_DepthInteractions,SVR_RBF,LOG1P,7,0.05578078715478496,27.9111320511717,24.142759648738025,0.28571428571428575
HPI,8,M5_Core_DepthInteractions,HuberRegressor,LOG1P,7,0.01996535293113777,28.43555765117454,23.660011440626842,-0.04761904761904763
